iter	MultiClass
0	2.564576557
1	1.812786402
2	1.117429578
3	0.442579293
4	0.2828782351
5	0.2210623378
6	0.1889629727
7	0.1665161695
8	0.1346815164
9	0.1177647299
10	0.1071292996
11	0.08357103349
12	0.07841956676
13	0.06499293702
14	0.05656026874
15	0.05377960759
16	0.04827283828
17	0.03933887067
18	0.03181646832
19	0.02925322227
20	0.02597500172
21	0.02418479585
22	0.01996837631
23	0.01841732325
24	0.01543904465
25	0.01462936549
26	0.01373988532
27	0.01314038939
28	0.01121423923
29	0.009875843503
30	0.008530574408
31	0.007696172343
32	0.006623071081
33	0.006103315187
34	0.005564962419
35	0.004992397943
36	0.004711425989
37	0.004291657732
38	0.004067224752
39	0.003840933237
40	0.003460325558
41	0.003270388567
42	0.002800429614
43	0.002569024584
44	0.002409964581
45	0.002165651024
46	0.002065826013
47	0.001951592391
48	0.001718458259
49	0.001575461334
50	0.001464726352
51	0.001341319397
52	0.00127827479
53	0.001130136162
54	0.001066912808
55	0.001009558612
56	0.0009585137624
57	0.0008120764425
58	0.0007097737499
59	0.0006108289196
60	0.0005398564469
61	0.0004701823328
62	0.000424726023
63	0.000382972029
64	0.0003386604055
65	0.0003087486847
66	0.0002785869909
67	0.0002588172615
68	0.0002344008094
69	0.0002226941073
70	0.0002057113287
71	0.0001924826159
72	0.0001706728279
73	0.0001610757241
74	0.0001492932427
75	0.0001373124386
76	0.0001240465472
77	0.0001179328468
78	0.0001111361792
79	0.0001024047709
80	9.282567381e-05
81	8.433832282e-05
82	7.89345806e-05
83	7.17478645e-05
84	6.739530491e-05
85	6.237904336e-05
86	5.88497446e-05
87	5.487458507e-05
88	5.221646385e-05
89	4.782465047e-05
90	4.506433533e-05
91	4.017241609e-05
92	3.758668995e-05
93	3.548005899e-05
94	3.370588586e-05
95	3.241849876e-05
96	2.895386819e-05
97	2.720060896e-05
98	2.458001515e-05
99	2.345426745e-05
100	2.142892799e-05
101	2.019730268e-05
102	1.850138752e-05
103	1.769203762e-05
104	1.615193299e-05
105	1.535507176e-05
106	1.383589821e-05
107	1.309577524e-05
108	1.2070653e-05
109	1.135644636e-05
110	1.080599683e-05
111	1.001191208e-05
112	9.434134196e-06
