iter	Passed	Remaining
0	60	30036
1	125	31196
2	180	29844
3	228	28273
4	267	26364
5	312	25607
6	355	24912
7	396	24294
8	439	23884
9	482	23533
10	529	23422
11	571	23133
12	618	23073
13	663	22934
14	705	22703
15	732	22081
16	776	21958
17	813	21692
18	851	21463
19	889	21263
20	944	21462
21	982	21252
22	1021	21097
23	1057	20885
24	1108	20974
25	1151	20903
26	1196	20873
27	1245	20901
28	1289	20862
29	1333	20804
30	1367	20596
31	1403	20441
32	1444	20355
33	1483	20243
34	1521	20128
35	1555	19962
36	1601	19949
37	1639	19849
38	1673	19699
39	1711	19594
40	1750	19508
41	1792	19456
42	1827	19340
43	1873	19327
44	1909	19217
45	1951	19180
46	1991	19113
47	2040	19132
48	2088	19135
49	2131	19094
50	2177	19085
51	2223	19074
52	2267	19040
53	2309	18985
54	2349	18921
55	2385	18828
56	2424	18760
57	2467	18717
58	2509	18669
59	2547	18597
60	2586	18527
61	2622	18445
62	2672	18452
63	2711	18389
64	2752	18334
65	2787	18248
66	2823	18163
67	2864	18115
68	2911	18101
69	2943	17996
70	2988	17971
71	3032	17944
72	3069	17870
73	3116	17856
74	3157	17810
75	3221	17886
76	3259	17823
77	3302	17782
78	3347	17756
79	3388	17706
80	3427	17643
81	3466	17585
82	3500	17500
83	3536	17430
84	3576	17379
85	3615	17318
86	3651	17251
87	3683	17162
88	3728	17136
89	3762	17058
90	3795	16976
91	3830	16903
92	3876	16883
93	3916	16833
94	3954	16776
95	3992	16717
96	4025	16639
97	4059	16568
98	4101	16528
99	4161	16561
100	4200	16512
101	4239	16457
102	4278	16406
103	4316	16354
104	4354	16296
105	4396	16257
106	4433	16202
107	4476	16165
108	4513	16106
109	4544	16030
110	4584	15984
111	4619	15920
112	4658	15870
113	4692	15807
114	4729	15749
115	4768	15703
116	4806	15651
117	4838	15582
118	4876	15532
119	4915	15483
120	4947	15414
121	4988	15373
122	5027	15326
123	5062	15270
124	5101	15223
125	5137	15167
126	5175	15119
127	5212	15066
128	5249	15016
129	5282	14954
130	5321	14907
131	5357	14855
132	5398	14815
133	5435	14764
134	5480	14736
135	5524	14705
136	5561	14655
137	5602	14615
138	5639	14565
139	5672	14506
140	5715	14470
141	5749	14414
142	5790	14374
143	5824	14318
144	5861	14270
145	5901	14228
146	5945	14196
147	5982	14147
148	6020	14101
149	6056	14050
150	6102	14022
151	6145	13989
152	6183	13944
153	6222	13899
154	6260	13853
155	6311	13837
156	6347	13785
157	6386	13742
158	6423	13696
159	6461	13649
160	6498	13602
161	6530	13544
162	6578	13519
163	6613	13469
164	6659	13440
165	6700	13400
166	6760	13398
167	6801	13359
168	6839	13315
169	6879	13273
170	6920	13234
171	6958	13188
172	6997	13146
173	7038	13106
174	7077	13063
175	7118	13023
176	7155	12976
177	7199	12942
178	7243	12909
179	7278	12859
180	7316	12813
181	7345	12753
182	7379	12702
183	7411	12648
184	7449	12602
185	7483	12553
186	7516	12501
187	7551	12452
188	7587	12405
189	7625	12360
190	7662	12315
191	7699	12271
192	7736	12226
193	7776	12185
194	7816	12145
195	7855	12103
196	7891	12057
197	7925	12008
198	7956	11955
199	7991	11908
200	8027	11861
201	8064	11817
202	8101	11772
203	8140	11731
204	8179	11690
205	8215	11645
206	8250	11598
207	8289	11556
208	8322	11507
209	8355	11459
210	8398	11424
211	8436	11380
212	8473	11338
213	8507	11290
214	8545	11248
215	8588	11213
216	8622	11165
217	8658	11121
218	8697	11080
219	8730	11032
220	8768	10990
221	8800	10941
222	8837	10898
223	8887	10871
224	8928	10833
225	8973	10799
226	9013	10760
227	9049	10716
228	9092	10680
229	9139	10649
230	9169	10598
231	9212	10563
232	9247	10518
233	9282	10472
234	9317	10427
235	9354	10385
236	9390	10340
237	9427	10298
238	9462	10254
239	9496	10209
240	9536	10169
241	9574	10128
242	9624	10100
243	9666	10062
244	9706	10023
245	9746	9984
246	9794	9953
247	9840	9919
248	9886	9886
249	9922	9843
250	9959	9801
251	9998	9760
252	10049	9731
253	10100	9703
254	10153	9675
255	10195	9637
256	10236	9599
257	10275	9558
258	10319	9522
259	10359	9482
260	10397	9441
261	10440	9404
262	10486	9370
263	10535	9338
264	10579	9301
265	10622	9264
266	10661	9224
267	10698	9181
268	10731	9135
269	10774	9098
270	10817	9061
271	10855	9019
272	10890	8975
273	10933	8938
274	10975	8900
275	11016	8860
276	11063	8826
277	11105	8788
278	11151	8753
279	11194	8715
280	11236	8677
281	11275	8636
282	11316	8597
283	11360	8560
284	11411	8528
285	11452	8489
286	11488	8446
287	11520	8400
288	11561	8361
289	11613	8329
290	11659	8293
291	11714	8264
292	11774	8237
293	11847	8221
294	11899	8188
295	11952	8156
296	11990	8114
297	12042	8082
298	12089	8046
299	12128	8004
300	12175	7968
301	12213	7926
302	12259	7889
303	12301	7850
304	12345	7811
305	12399	7779
306	12446	7743
307	12486	7702
308	12531	7664
309	12567	7621
310	12608	7581
311	12641	7536
312	12677	7493
313	12717	7452
314	12757	7411
315	12795	7369
316	12830	7326
317	12865	7282
318	12898	7237
319	12931	7193
320	12971	7152
321	13012	7112
322	13064	7078
323	13101	7036
324	13137	6993
325	13174	6951
326	13222	6914
327	13260	6872
328	13289	6826
329	13325	6783
330	13366	6743
331	13411	6705
332	13448	6663
333	13482	6620
334	13526	6581
335	13573	6544
336	13616	6505
337	13652	6462
